company_name;address;phone;website;municipality;general_summary;portfolio;data_source;company_url;scraped_city;scraped_page;scraped_at
"arriba";"n/a, Lisbon, Portugal";"";"http://www.arriba.pt/";"Vila Franca de Xira";"Architecture surrounds you every minute. At Arriba we want to enhance how you experience your everyday life through the reinterpretation of the spaces you live in, from the door handle, to the street, to the city. We want you to take a step further and enjoy all of what a perfectly tailored space has to offer.";"Casa de Hóspedes: https://archello.com/project/casa-de-hospedes | Hernani Cidade: https://archello.com/project/hernani-cidade | Entrecampos: https://archello.com/project/entrecampos | Capitão Leitão: https://archello.com/project/capitao-leitao | Mouraria: https://archello.com/project/mouraria | Bica do Sapato: https://archello.com/project/bica-do-sapato | Ajuda: https://archello.com/project/ajuda | Graça: https://archello.com/project/graca";"Archello";"https://archello.com/brand/arriba";"Vila_Franca_de_Xira";"3";"2025-11-01T17:14:10.262Z"
"MARLENE ULDSCHMIDT ARCHITECTS STUDIO";"Escadinhas do Arade 6 Ferragudo, Algarve, Portugal";"+351 282 431 083";"http://www.marleneuldschmidt.com/";"Vila Franca de Xira";"Every project is unique because it is the materialisation of someone's dream and there are no two dreams alike. The Studio strives to provide our clients with the confidence in believing in their dreams and in our ability to transform them into reality using our experience and know-how. In our work, linear geometries merry the fluidity of curves of movement. Duotone and opposition of a few selected materials create a balanced harmonic play. A feeling of calmness dresses the comfort of a sober luxury ambience. The space is essential yet never bare, the atmosphere is intimate with a light touch of femininity, normally absent in other contemporary minimalistic architectonic projects. read in Deutsch";"House V: https://archello.com/project/house-v-10 | Casa dos Mores: https://archello.com/project/casa-dos-mores | Casa Ancora: https://archello.com/project/casa-ancora | Casa Boa Esperança: https://archello.com/project/casa-boa-esperanca | Casa de Campo: https://archello.com/project/casa-de-campo-2 | Villa Petra: https://archello.com/project/villa-petra-2 | Casa Arco Iris: https://archello.com/project/casa-arco-iris | GALERIA VASCO DA GAMA 26: https://archello.com/project/galeria-vasco-da-gama-26";"Archello";"https://archello.com/brand/marlene-uldschmidt-architects-studio";"Vila_Franca_de_Xira";"3";"2025-11-01T17:14:14.360Z"
"Pereira Miguel Arquitectos";"Av. Praia da Vitória 5, Cv2, Lisboa, Portugal";"00351 213141742";"http://www.pm-arq.com/";"Vila Franca de Xira";"Pereira Miguel, Arquitectos, Lda is a Lisbon based architecture office that aims to develop a sustainable practice in the field of architecture, urbanism, 3D and architectural research. We execute projects of various scales, in competitions or direct commissions, real or virtual, so as to constitute a body of work capable of facing the new challenges of the digital society. We develop partnerships with other studios, national or foreigners from different areas, and we are open to new challenges and contacts.";"Centro Social de Aguiar: https://archello.com/project/centro-social-de-aguiar | Co-Living Carcavelos: https://archello.com/project/co-living-carcavelos | MJA House: https://archello.com/project/mja-house | B. Hostel: https://archello.com/project/b-hostel | Residência de Estudantes Santa Apolónia: https://archello.com/project/residencia-de-estudantes-santa-apolonia | House in Monchique: https://archello.com/project/house-in-monchique | São Pedro 27: https://archello.com/project/sao-pedro-27 | L10: https://archello.com/project/l10";"Archello";"https://archello.com/brand/pereira-miguel-arquitectos";"Vila_Franca_de_Xira";"3";"2025-11-01T17:14:18.450Z"
"Pedro Ferreira Architecture Studio";"Rua 1.º de Dezembro, Esposende, Portugal";"";"http://www.pfarchstudio.com/";"Vila Franca de Xira";"Pedro Ferreira Architecture Studio is a company based in Portugal with projects underway in Europe, Africa and South America. Among our associates and employees there are architects, engineers and designers, trained in Portugal, Spain, Italy, England and Brazil. With extensive experience in several sectors of the construction market, in the past 14 years we have designed buildings for both public and private sectors, specializing in five major areas: Housing, Health, Tourism, Transport and Heritage. Pedro Ferreira Architecture Studio has over the years seen his work being published in countries as disparate as South Korea, China, India, Germany, Portugal, Egypt, Chile or Brazil. A strong relationship with the customer, the total monitoring of the whole process, from conception to construction, combined with research and innovation are the key elements of the Pedro Ferreira Architecture Studio’s philosophy.";"The Farm Açores: https://archello.com/project/the-farm-acores | Hintze Ribeiro: https://archello.com/project/hintze-ribeiro | Carvalheiras: https://archello.com/project/carvalheiras | Largo dos Poveiros: https://archello.com/project/largo-dos-poveiros | Cantina Monteiro Ribas: https://archello.com/project/cantina-monteiro-ribas | O Marmorista: https://archello.com/project/o-marmorista-2 | Taipas: https://archello.com/project/taipas | Amieira: https://archello.com/project/amieira";"Archello";"https://archello.com/brand/pedro-ferreira-architecture-studio";"Vila_Franca_de_Xira";"3";"2025-11-01T17:14:23.266Z"
"M2.senos";"Travessa Adolfo Paião nº5, Ílhavo, Portugal";"(+351)936271906";"http://www.m2senos.com";"Vila Franca de Xira";"The architecture studio M2 Senos Arquitectos was founded in 2007 by Sofia and Ricardo Senos, with the mission of developing studies and projects of architecture, rehabilitation and urban design. Balancing imagination and reality, the studio focuses on always trying to find the most creative and assertive solutions for its clients. Through an interdisciplinary collaboration, it is present through all phases of the project, from conception to execution, ensuring the best accompaniment of all specialties. It places special attention to the follow up of work, working closely with the client and the builder. Its works have been internationaly published in architecture magazines and journals like Phaidon Atlas, Dezeen, Divisare, Archtizer, or Trends Magazine. read in Português";"House Clara: https://archello.com/project/house-clara | LBlack House: https://archello.com/project/lblack-house | Apartamento em Gouveia: https://archello.com/project/apartamento-em-gouveia | HVM House: https://archello.com/project/hvm-house | JR House: https://archello.com/project/jr-house-2 | Alcântara Flat: https://archello.com/project/alcantara-flat | House in São Salvador: https://archello.com/project/house-in-sao-salvador | House in Ílhavo: https://archello.com/project/house-in-ilhavo";"Archello";"https://archello.com/brand/m2senos";"Vila_Franca_de_Xira";"3";"2025-11-01T17:14:27.464Z"
"Bruno Dias Arquitectura";"Av.Dr.Victor Faveiro, Leiria, Portugal";"+351 919 506 044";"http://brunodiasarquitectura.pt/";"Vila Franca de Xira";"";"CASA VERDE GAGO: https://archello.com/project/casa-verde-gago | CASA MOITA SANTA: https://archello.com/project/casa-moita-santa | Chouso House: https://archello.com/project/chouso-house | Tarouca Gastro Bar: https://archello.com/project/tarouca-gastro-bar | CASA ÂMAGO: https://archello.com/project/casa-amago | Watermill on the crags of Saint Simon: https://archello.com/project/watermill-on-the-crags-of-saint-simon | “Corte D’arte” Hairdresser’s: https://archello.com/project/corte-darte-hairdressers | GLOMA HOUSE: https://archello.com/project/gloma-house";"Archello";"https://archello.com/brand/bruno-dias-arquitectura";"Vila_Franca_de_Xira";"3";"2025-11-01T17:14:31.458Z"
"MSB Arquitectos";"Rua Major Reis Gomes 2D, Funchal, Madeira, Portugal";"+351 291228400";"http://msb-arquitectos.net/";"Vila Franca de Xira";"The MSB – ARCHITECTS were established in 2004 and it’s based in Madeira Island, Portugal. The MSB produce projects and studies in the areas of architecture, interior design, urban design and planning. The work produced by this studio, reveals fascination for a contemporary architecture that accompanies its time, having developed over the past few years numerous projects, small and large scale in the area of housing, hospitality, equipment and planning, and beeing recognized by its quality, proven by victories in national and international competitions. Other areas of activity such as Project Management and Consultancy in Hospitality Program represent another services that MSB provide and for which experience in activities directly related to these branches provide greater customer support. The studio maintains an open philosophy of work, both in its communication, but also prioritizing the work in multidisciplinary teams with partners inside and outside of Portugal, in the promotion of ideas as a crucial factor in the development of projects. During these formative years the MSB have been authors and co-authors of ambitious works which also cover areas of research being presently working with two universities: the Instituto Superior Técnico (IST) in Lisbon and the Massachusetts Institute of Technology ( MIT ) in Boston.";"Airbaltic Passenger Terminal: https://archello.com/project/airbaltic-passenger-terminal | Wine Culture Centre Competition: https://archello.com/project/wine-culture-centre-competition | Gardens by the Bay: https://archello.com/project/gardens-by-the-bay | Henriques and Henriques Winery: https://archello.com/project/henriques-and-henriques-winery | LAGOA HOTEL . SÃO MIGUEL . AZORES: https://archello.com/project/lagoa-hotel-sao-miguel-azores | Lagoa Hotel: https://archello.com/project/lagoa-hotel | Busan Opera House: https://archello.com/project/busan-opera-house-8 | Reis NUNES HOUSE: https://archello.com/project/reis-nunes-house";"Archello";"https://archello.com/brand/msb-arquitectos";"Vila_Franca_de_Xira";"3";"2025-11-01T17:14:35.348Z"
"Camarim";"Campo Grande no. 10e, Lisbon, Portugal";"";"http://www.camarim.pt/";"Vila Franca de Xira";"Camarim is the architectural office created by Vasco Correia and Patrícia Sousa in 2007. We are at the moment involved in a series of very different projects, ranging from small, low-budget housing renovations for end-users to medium-size public buildings with innovative programs. We work in close dialogue with the clients, consultants, contractors and end users, in a collaborative process of production, so that each project translates a holistic solution: informed, intelligent and innovative. After the project, we continue actively involved in its construction and completion. Though we are a young company, we have attracted the attention of the media from countries like Argentina, Brasil*, Canada, Chile, China, Dubai*, Italy, Mexico*, Portugal and the United Kingdom. Our effort to produce energy-efficient designs was recognized by France5 (French National Broadcaster), who included us in a documentary about sustainable building in December 2009. Most importantly, designs like Casa Tropical have gained the recognition of the local community as an added-value to their town; we believe this was achieved because of our pursuit for excellence in conception and execution of each project. The following is a mind-frame that guides our approach to the architectural practice: Camarim is an architecture laboratory where we study the spatial arrangement of human activities. We operate on various programmes, budgets and scales – from the city to the tools of everyday life – and we approach each project as an opportunity to explore new solutions, in relation to the specificities of the program and the physical and cultural context. We aim to design systems that are durable, functional, flexible, energy efficient, beautiful: we seek spaces and materials with the potential to generate complex mental landscapes from visual, tactile, acoustical and aromatic input, landscapes that evolve throughout the day, the seasons and life, as a living organism.";"Garden No. 2 – Limburg: https://archello.com/project/garden-no-2-limburg | House No. 7 – Avenidas Novas: https://archello.com/project/house-no-7-avenidas-novas | House No. 11 – Santa Isabel: https://archello.com/project/house-no-11-santa-isabel | Apartment No. 10 + Office n.º 1 – Limburg: https://archello.com/project/apartment-no-10-office-n-1-limburg | Guacamole 2: https://archello.com/project/guacamole-2 | A029: https://archello.com/project/a029 | Delgada 1: https://archello.com/project/delgada-1 | DG2: https://archello.com/project/dg2";"Archello";"https://archello.com/brand/camarim";"Vila_Franca_de_Xira";"3";"2025-11-01T17:14:40.262Z"
"Fragmentos";"Lisbon, Portugal";"";"http://www.fragmentos.pt/en/";"Vila Franca de Xira";"Fragmentos is a collective of four architects Duarte Pinto Coelho, Marcus Cerdeira, Miguel Santos and Pedro Silva Lopes. For over two decades we have been designing the most ambitious and challenging architectural works. Every project, from a residential building to a masterplan, reflects our determination and commitment within which we dedicate ourselves to the challenges set before us. Headquartered in Lisbon, our studio has spread to Chile and Angola in an effort to connect cities and to promote diverse thinking. In 2019, believing that architecture and engineering are best achieved in close collaboration, we have expanded our services to drive the whole design process.";"Floene: https://archello.com/project/floene | Victor Cordon: https://archello.com/project/victor-cordon | Possidónio 37: https://archello.com/project/possidonio-37 | Palácio da Anunciada: https://archello.com/project/palacio-da-anunciada | Auchan Bayview: https://archello.com/project/auchan-bayview | António Granjo: https://archello.com/project/antonio-granjo | Prazeres 37: https://archello.com/project/prazeres-37 | Quake Museum: https://archello.com/project/quake-museum";"Archello";"https://archello.com/brand/fragmentos";"Vila_Franca_de_Xira";"3";"2025-11-01T17:14:43.234Z"
"Galant I.D. Lda";"Portugal";"+351968344198";"http://yaroslavgalant.com/";"Vila Franca de Xira";"Galant I.D. Lda Yaroslav Galant Yaroslav Galant is the founder and chief designer of Galant I.D.Lda. Yaroslav and his team's daring projects frequently catch the attention of the international media. Yaroslav was awarded the ""Golden Arch"" in 2008 for his design of the shipping company's office in Odessa in the category ""Public Interior. Hotels. Offices."" The designer was also honoured with the ""Domus Design Magazine Choice 2008"" award. His ""Born 2B Burn"" collection and firing technology are one-of-a-kind. Yaroslav is also the creator of the innovative Smart Industrial design style. For the first time, this style was used in the interior of the Fire & Water office in Kyiv (2011). His images were shared widely in the international media. Yaroslav frequently works with the hard high-tech material DuPontTM Corian®, with which he created the unique furniture collection ""Ukrainian Patterns,"" which was first shown at the MKTM-2010 exhibition. Ukrainian traditional ornamental embroidery on a solid Corian surface is an innovation. Yaroslav Galant was awarded the prize ""Ukrainian hand embroidery on a hard surface"" by the National Register of Records of Ukraine for the project's 164,000 holes and 14,000 m of threads. The one-of-a-kind collection was also shown at the Milan Design Show in the spring of 2012, where Yaroslav represented Ukraine. Yaroslav Galant's ""Ukrainian patterns"" was recognised by international experts as one of the brightest and most original projects in the Milan design week program. From 2012 to 2015, the studio worked productively in Ukraine, completing numerous projects, some of which were published in prestigious international publications: Crazy BQ, Rambutan, and others. In addition, the Bite & Go restaurant was featured on the leading architecture website DesignBoom. In 2015, the studio was awarded a contract to construct a restaurant in the heart of Lisbon. During our time in Portugal, we received orders for the construction and implementation of new projects, the majority of which were later awarded at design and architecture competitions and symposiums. The studio's work will continue in its new home in Portugal. The studio received a gold statuette at the Mus Design Award in New York in 2020. The projects also won numerous awards at the Paris Design Awards in 2020 and 2021. The studio will receive two gold statuettes at the mus design award New York competition in 2021. The projects of the studio were recognized several times at the Paris Design Award. Several of the studio's projects have also won awards in European design and architecture competitions. The studio was nominated for the Premio Nacional do Imobiliario, Portugal's highest award in the Office Premises category, in 2021. CEO Yaroslav Galant";"BRAZY Lisbon: https://archello.com/project/brazy-lisbon | Monterey House: https://archello.com/project/monterey-house-2 | Bite & Go. Deli Cafe: https://archello.com/project/bite-go-deli-cafe | Norwegian House: https://archello.com/project/norwegian-house | Nice Way Hostel Porto: https://archello.com/project/nice-way-hostel-porto | RB Pharma: https://archello.com/project/rb-pharma | Estoril Praia FC: https://archello.com/project/estoril-praia-fc | Solar Hause Cascais: https://archello.com/project/solar-hause-cascais";"Archello";"https://archello.com/brand/galant-id-lda";"Vila_Franca_de_Xira";"3";"2025-11-01T17:14:48.354Z"
